Domain,Site,Plot Type,Data Product Name,DPID,,Interannual Frequency,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
1,HOPB,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,Y,Y,Y,Y,Y,
2,LEWI,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,,Y,Y,Y,Y,
2,POSE,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,Y,Y,Y,Y,Y,
3,BARC,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,Y,Y,Y,Y,Y,Y,
3,FLNT,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,,Y,Y,Y,Y,
3,SUGG,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,Y,Y,Y,Y,Y,Y,
4,CUPE,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,Y,Y,Y,Y,Y,
4,GUIL,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,Y,Y,Y,Y,Y,
5,CRAM,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,Y,Y,Y,Y,Y,
5,LIRO,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,,Y,Y,Y,Y,
6,KING,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,Y,Y,Y,Y,Y,
6,MCDI,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,,Y,Y,Y,Y,
7,LECO,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,Y,Y,Y,Y,Y,
7,WALK,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,Y,Y,Y,Y,Y,
8,BLWA,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,,Y,Y,Y,Y,
8,MAYF,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,Y,Y,Y,Y,Y,
8,TOMB,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,,Y,Y,Y,Y,
9,PRLA,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,Y,Y,Y,Y,Y,
9,PRPO,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,Y,Y,Y,Y,Y,
10,ARIK,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,Y,Y,Y,Y,Y,Y,
11,BLUE,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,,Y,Y,Y,Y,
11,PRIN,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,Y,Y,Y,Y,Y,
12,BLDE,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,,,Y,Y,Y,
13,COMO,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,Y,Y,Y,Y,Y,
13,WLOU,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,,Y,Y,Y,Y,
14,SYCA,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,,Y,Y,Y,Y,
15,REDB,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,,Y,Y,Y,Y,
16,MART,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,,,Y,Y,Y,
16,MCRA,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,,Y,Y,Y,Y,
17,BIGC,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,,,Y,Y,Y,
17,TECR,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,,,Y,Y,Y,
18,OKSR,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,Y,Y,Y,Y,Y,
18,TOOK,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,Y,Y,Y,Y,Y,
19,CARI,,Aquatic plant bryophyte chemical properties ,.DP1.20063,,1,,,,,Y,Y,Y,Y,Y,
1,HOPB,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,Y,Y,Y,Y,Y,
2,LEWI,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,,Y,Y,Y,Y,
2,POSE,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,Y,Y,Y,Y,Y,
3,BARC,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,Y,Y,Y,Y,Y,Y,
3,FLNT,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,,Y,Y,Y,Y,
3,SUGG,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,Y,Y,Y,Y,Y,Y,
4,CUPE,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,Y,Y,Y,Y,Y,
4,GUIL,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,Y,Y,Y,Y,Y,
5,CRAM,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,Y,Y,Y,Y,Y,
5,LIRO,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,,Y,Y,Y,Y,
6,KING,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,Y,Y,Y,Y,Y,
6,MCDI,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,,Y,Y,Y,Y,
7,LECO,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,Y,Y,Y,Y,Y,
7,WALK,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,Y,Y,Y,Y,Y,
8,BLWA,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,,Y,Y,Y,Y,
8,MAYF,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,Y,Y,Y,Y,Y,
8,TOMB,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,,Y,Y,Y,Y,
9,PRLA,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,Y,Y,Y,Y,Y,
9,PRPO,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,Y,Y,Y,Y,Y,
10,ARIK,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,Y,Y,Y,Y,Y,Y,
11,BLUE,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,,Y,Y,Y,Y,
11,PRIN,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,Y,Y,Y,Y,Y,
12,BLDE,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,,,Y,Y,Y,
13,COMO,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,Y,Y,Y,Y,Y,
13,WLOU,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,,Y,Y,Y,Y,
14,SYCA,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,,Y,Y,Y,Y,
15,REDB,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,,Y,Y,Y,Y,
16,MART,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,,,Y,Y,Y,
16,MCRA,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,,Y,Y,Y,Y,
17,BIGC,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,,,Y,Y,Y,
17,TECR,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,,,Y,Y,Y,
18,OKSR,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,Y,Y,Y,Y,Y,
18,TOOK,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,Y,Y,Y,Y,Y,
19,CARI,,Aquatic plant bryophyte macroalgae clip harvest ,.DP1.20066,,1,,,,,Y,Y,Y,Y,Y,
1,HOPB,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,Y,Y,Y,Y,Y,
2,LEWI,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,,Y,Y,Y,Y,
2,POSE,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,,,,Y,Y,Y,Y,Y,
3,BARC,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
3,FLNT,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
3,SUGG,,"Aquatic plant, bryophyte, lichen, and macroalgae point counts in wadeable streams ",.DP1.20072,,1,,NA,NA,NA,NA,NA,NA,NA,NA,
