"Site Name","Site ID","Domain Name","Domain Number","State","Nearest Town","Latitude","Longitude","Site Type","Site Subtype","Site Host","Overview","Site Access","Mean Annual Temperature","Mean Annual Precipitation","Dominant NLCD Classes","Elevation","Site Characteristics","Data Collection Types","Adjacent Research Networks","Field Office","Gallery","Thumbnail","Overview Image","Google Maps Embed Code","Related Content"
"Little Rock Lake","LIRO","Great Lakes","D05","WI","","45.998269000000","-89.704767000000","Relocatable Aquatic","Lake","Wisconsin Department of Natural Resources","LIRO is a seepage lake located in Wisconsin and is representative of the Great Lakes ecosystems.
Total data products planned for this site: 77
","Yes","4.4C/39.92F","793 mm","Deciduous Forest, Mixed Forest","502 m","","Airborne Remote Sensing Surveys
Remote sensing surveys of this site collect lidar, spectrometer and high resolution RGB camera data.
Meteorological Measurements
This site has one meteorological station located in the riparian area and one meteorological station above water on a buoy. The met stations are outfitted with the a subset of the same sensors used at terrestrial sites. Measurements include wind speed and direction, air temperature, barometric pressure, relative humidity, shortwave radiation, and PAR.
Phenocams
This site has one phenocam near the lake.
Surface Water Sensor Stations
This site has one buoy-mounted sensor station and an inlet station and outlet station. At the buoy, the automated instrument measurements are: PAR at water surface, PAR below water surface, temperature at a specific depth in surface water, water quality (specific conductivity, chlorophyll a, dissolved oxygen content, pH turbidity, and fDOM), and nitrate. At the inlet and outlet stations, the measurements are: PAR below water surface, elevation of surface water, and temperature in surface water.
Groundwater Wells
Seven groundwater wells throughout the site collect specific conductivity, water tempertaure, and elevation of groundwater.
Observational Sampling
Field ecologists collect the following types of observational data at this site:
Aquatic Organisms

Aquatic Microbes (surface water)
Macroinvertebrates
Microalgae
Plants and Macroalgae
Zooplankton

Biogeochemical

Plants
Sediment
Water and Particulates

Physical Aquatic     

Bathymetric maps
Stage
Secchi Depth and Depth Profiles
Riparian Assessment

","","Domain 05
7647 Notre Dame LaneLand O Lakes, WI 54540
Telephone: 906.842.2119
Contact us
","LIRO D05 Bathymetry Map, LIRO D05 Habitat Map","","","",""
"West St Louis Creek","WLOU","Southern Rockies & Colorado Plateau","D13","CO","","39.891370000000","-105.915400000000","Relocatable Aquatic","Wadeable Stream","U.S. Forest Service","Total data products planned for this site: 79
","Yes","-0.3C/31.46F","758 mm","Evergreen Forest","3103 m","Watershed Size
5.19 km2
USGS HUC: h14010001
Geology
Schist, migmatite, and biotitic gneiss.  Paleoproterozoic.
","Airborne Remote Sensing Surveys
Remote sensing surveys of this site collect lidar, spectrometer and high resolution RGB camera data.
Meteorological Measurements
This site has one meteorological station located in the riparian area. The met station is outfitted with a subset of the same sensors used at terrestrial sites. Measurements include wind speed and direction, air temperature, barometric pressure, relative humidity, shortwave radiation, and PAR.
Phenocams
This site has one phenocam near the stream.
Surface Water Sensor Stations
This site has one upstream sensor station and one downstream sensor station. Measurements include PAR, temperature, water quality [specific conductivity, chlorophyll a, dissolved oxygen content, pH, turbidity, and fluorescent dissolved organic matter (only downstream)], and nitrate is measured at the downstream station.
Groundwater Wells
Eight groundwater wells throughout the site collect specific conductivity, water tempertaure, and elevation of groundwater.
Observational Sampling
Field ecologists collect the following types of observational data at this site:
Aquatic Organisms

Aquatic Microbes (surface water, benthic)
Fish
Macroinvertebrates
Microalgae
Plants and Macroalgae

Biogeochemical

Plants
Reaeration
Sediment
Water and Particulates

Physical Aquatic

Discharge
Morphologic Maps
Riparian Assessment

","","Domain 10/13
1685 38th Street, Suite 100Boulder, CO 80301
​Telephone: 720.836.2439
Contact us
","WLOU-D13-Stream-Morpology-Map","","","",""
"Pu'u Maka'ala Natural Area Reserve","PUUM","Pacific Tropical","D20","HI","","19.553090000000","-155.317310000000","Core Terrestrial","","Hawaii State Forest Reserve System Department of Land and Natural Resources, Division of Forestry and Wildlife","NEON's PUUM field site is located in the Pu'u Maka'ala Natural Area Reserve (NAR) on the eastern side of Hawaii’s “Big Island,” managed by the Hawaii Division of Forestry and Wildlife (DOFAW). More than 18,000 acres in size, the NAR is home to a rainforest with many native species, some of them endangered. It was established to protect some of the Big Island’s best wet native forest and unique geologic features.
Total data products planned for this site: 116
","TBD","13C/55.4F","2685 mm","Evergreen Forest","1685 m","Geology: 
Pahoehoe and aa of the Kau Basalt, deposited between 200-750 years ago.
USGS HUC: h20010000
Wind Direction:
The dominant wind direction is east-southeast.
Site Establishment
The NEON project team evaluated several other sites in Hawaii before settling on Pu`u Maka`ala. Site selection was conducted in cooperation with local stakeholders, including the Hawaii DOFAW and local scientists and experts of the NARS Commission.  To get permitted, the site went through a rigorous environmental assessment, involving numerous state, federal and local community groups including the Three Mountain Alliance (TMA). TMA is a partnership of organizations involved in preservation of Hawaii’s native ecosystems and responsible management of land and resources on the island. The team wanted to ensure that the construction and operation of the NEON flux tower and sampling plots would not impact endangered species or impose on local hunting traditions or culturally sensitive areas. The PUUM tower and instrument hut will be located in an area of the NAR designated as “previously disturbed” to minimize impact on pristine areas of the forest.
In addition to supporting the overall goals of the NEON project, data collected from the PUUM field site will be invaluable for several local preservation and research projects. The Pu`u Maka`ala NAR includes native koa and `ōhi`a forests. `Ōhi`a forests, which make up nearly 80% of Hawaii’s native forest land, have been struck in recent years by a fungal disease known as Rapid `Ōhi`a Death (ROD). 
NEON data will also be used by the `Alalā Project, a partnership between the Hawaii DOFAW and several other preservation groups seeking to restore Hawaii’s only native crow species to the wild. Terrestrial organismal sampling on the site will provide monitoring data for other threatened and endangered species as well, including the `i`iwi (a threatened honey creeper), the `io (a native Hawaiian hawk) and the nēnē (a native Hawaiian goose). Mosquito data from the NEON site will also help local researchers track disease vectors that may impact native avian species.
Site Exceptions
Due to the unique mix of soil conditions, flora and fauna on the island, researchers at PUUM will need to make a number of modifications to the sampling and measurement protocols used at most other NEON field sites. 

Because the island is volcanic and soil depths average just 4 inches, soil measurement methods have been modified for the site.
Field sampling schedules have been modified to minimize traffic through ecologically sensitive areas and accommodate Hawaii’s year-round growing season.
Small mammal sampling has been eliminated, as Hawaii has only one native terrestrial mammal (the Hawaiian Hoary Bat), an endangered species which is already being monitored by other research programs. Tick sampling has also been eliminated.
Tree tagging methods have been modified to avoid creating entry points for ROD in `ōhi`a trees.

The data from this field site will support a broad range of local research programs and provide new insights into the ecology of native species in Hawaii.
","Airborne Remote Sensing Surveys
Remote sensing surveys of this field site collect lidar, spectrometer and high-resolution RGB camera data.
Meteorological Measurements
The flux/meteorological tower at this site is 105’ with 6 measurement levels.  The tower top extends above the vegetation canopy to allow sensors mounted at the top and along the tower to capture the full profile of atmospheric conditions from the top of the vegetation canopy to the ground. The tower collects physical and chemical properties of atmosphere-related processes, such as humidity, wind, and net ecosystem gas exchange. Precipitation data are collected by a Double Fence Intercomparison Reference (DFIR) near the tower, and a series of throughfalls located in the soil array.
Phenocams
This site has one phenocam on the top of the flux tower and one near the bottom of the tower.
Soil Sensor Measurements
This site has five soil plots placed in an array within the airshed of the flux tower. The following measurements may be collected at the soil surface in each soil plot:

Photosynthetically Active Radiation (PAR) at soil surface
Soil heat flux
Solar radiation
Throughfall

The following measurements are collected at multiple depths in each soil plot:

Soil moisture
Soil temperature
CO2 concentration

Observational Sampling
Field ecologists collect the following types of observational data at this site:
Terrestrial Organisms

Birds
Ground Beetles
Mosquitoes
Plants
Soil Microbes

*Please note that the small mammal sampling protocol does not take place at this field site due to endangered species requirements
Biogeochemical

Plants
Soil

DNA Sequences
Pathogens
Physical Terrestrial

Soil

","","Domain 20
60 Nowelo StreetHilo, Hawaii  96720
Contact us
","PUUM plot establishment, Field ecologists venture out to do field sampling at PUUM Hawaii","","","",""
"Flint River","FLNT","Southeast","D03","GA","","31.185420000000","-84.437400000000","Relocatable Aquatic","Non-wadeable River","Private Owner","Total data products planned for this site: 75
","No","19.5C/67.1F","1307 mm","Mixed Forest","45 m","Watershed Size
29,100 km2
USGS HUC: h03130008
Geology
Undifferentiated clay, mud, and beach sand. Pleistocene or the Holocene.
","Airborne Remote Sensing Surveys
Remote sensing surveys of this site collect lidar, spectrometer and high resolution RGB camera data.
Meteorological Measurements
This site has one meteorological station located in the riparian area and one meteorological station above water on a buoy. The met stations are outfitted with the a subset of the same sensors used at terrestrial sites. Measurements include wind speed and direction, air temperature, barometric pressure, relative humidity, shortwave radiation, and PAR.
Phenocams
This site has one phenocam near the river.
Surface Water Sensor Stations
This site has one near bank sensor station and one buoy-mounted sensor station. At the buoy station, the automated instrument measurements are: PAR at water surface and below water surface, temperature at specific depth, water quality (specific conductivity, chlorophyll a, dissolved oxygen content, pH, turbidity, and fDOM), and nitrate.  Near the bank, the measurements are: PAR below water surface, elevation of surface water, and temperature in surface water.
Groundwater Wells
Seven groundwater wells throughout the site collect specific conductivity, water tempertaure, and elevation of groundwater.
Observational Sampling
Field ecologists collect the following types of observational data at this site:
Aquatic Organisms

Aquatic Microbes (surface water)
Fish
Macroinvertebrates
Microalgae
Plants and Macroalgae

Biogeochemical

Plants
Sediment
Water and Particulates

Physical Aquatic     

Bathymetric Maps
Stage
Secchi Depth and Depth Profiles
Riparian Assessment

","Jones Ecological Research Center
","Domain 03
4579 NW 6th Street, Unit B-2Gainesville, FL 32609
Telephone: 352.505.2019
Contact us
","FLNT D03 Bathymetry Map, FLNT D03 Habitat Map","","","",""
"McDiffett Creek","MCDI","Prairie Peninsula","D06","KS","","38.944280000000","-96.441970000000","Relocatable Aquatic","Wadeable Stream","Private Owner - KSU Charitable Real Estate Foundation","Total data products planned for this site: 79
","Yes","12C/53.6F","860 mm","Cultivated Crops, Grassland/Herbaceous","396 m","Watershed Size
23.1 km2
USGS HUC: h10270102
Geology
Located on the Chase Group, which consists of shale and limestone deposited during the Permian.
 
","Airborne Remote Sensing Surveys
Remote sensing surveys of this site collect lidar, spectrometer and high resolution RGB camera data.
Meteorological Measurements
This site has one meteorological station located in the riparian area. The met station is outfitted with a subset of the same sensors used at terrestrial sites. Measurements include wind speed and direction, air temperature, barometric pressure, relative humidity, shortwave radiation, and PAR.
Phenocams
This site has one phenocam near the stream.
Surface Water Sensor Stations
This site has one upstream sensor station and one downstream sensor station. Measurements include PAR, temperature, water quality [specific conductivity, chlorophyll a, dissolved oxygen content, pH, turbidity, and fluorescent dissolved organic matter (only downstream)], and nitrate is measured at the downstream station.
Groundwater Wells
Eight groundwater wells throughout the site collect specific conductivity, water tempertaure, and elevation of groundwater.
Observational Sampling
Field ecologists collect the following types of observational data at this site:
Aquatic Organisms

Aquatic Microbes (surface water, benthic)
Fish
Macroinvertebrates
Microalgae
Plants and Macroalgae

Biogeochemical

Plants
Reaeration
Sediment
Water and Particulates

Physical Aquatic     

Discharge
Morphologic Maps
Riparian Assessment

","","Domain 06
1500 Hayes DriveManhattan, KS 66502
​Telephone: 785.789.3402
Contact us
","Prepping for benthic microbe sampling at MCDI","","","",""
"Lewis Run","LEWI","Mid-Atlantic","D02","VA","","39.095640000000","-77.983220000000","Relocatable Aquatic","Wadeable Stream","Casey Trees","Total data products planned for this site: 78
","Limited","12C/53.6F","950 mm","Deciduous Forest","152 m","Watershed Size
10.5 km2
USGS HUC: h02070007
Geology
Cambrian limestone and dolostone in the Elbrook Formation
","Airborne Remote Sensing Surveys
Remote sensing surveys of this site collect lidar, spectrometer and high resolution RGB camera data.
Meteorological Measurements
This site has one meteorological station located in the riparian area. The met station is outfitted with a subset of the same sensors used at terrestrial sites. Measurements include wind speed and direction, air temperature, barometric pressure, relative humidity, shortwave radiation, and PAR.
Phenocams
This site has one phenocam near the stream.
Surface Water Sensor Stations
This site has one upstream sensor station and one downstream sensor station. Measurements include PAR, temperature, water quality [specific conductivity, chlorophyll a, dissolved oxygen content, pH, turbidity, and fluorescent dissolved organic matter (only downstream)], and nitrate is measured at the downstream station.
Groundwater Wells
Eight groundwater wells throughout the site collect specific conductivity, water tempertaure, and elevation of groundwater.
Observational Sampling
Field ecologists collect the following types of observational data at this site:
Aquatic Organisms

Aquatic Microbes
Fish
Macroinvertebrates
Microalgae

Biogeochemical

Plants
Reaeration
Sediment
Water and Particulates

Physical Aquatic     

Discharge
Stream Morphology
Riparian Assessment

","University of Virginia
","Domain 02
1500 Remount RoadMRC 5560, Bldg 90Front Royal, VA 22630
Telephone: 540.692.1919
","LEWI-D02-Stream-Morpology-Map","","","",""
"Blue River","BLUE","Southern Plains","D11","OK","","34.444220000000","-96.624200000000","Relocatable Aquatic","Wadeable Stream","The Nature Conservancy","This field site is located in the Nature Conservancy's Oka’ Yanahli Preserve, which protects nearly 3,600 acres of native prairie and is along one mile of the Blue River in Southern Oklahoma.
According to the Nature Conservancy, ""the Blue River basin encompasses a variety of freshwater ecosystems, from rolling limestone prairies to oak forests in granite canyons to bottomland hardwood forests. An astonishing array of plant and animal species depend on a healthy, sustainable Blue River basin, including the Blue River subspecies of orangebelly darter, orangethroat darter and least darter; ringed crayfish; rabbitsfoot mussel; chatterbox orchid; bald eagle, prothotary warbler and dozens of species of migrating birds. Seaside alder, found only in three widely disjunct parts of the United States—and arguably the rarest tree in North America—is more abundant on this river than anywhere else.
It is also a critical source of water for human needs. In addition to providing for agricultural needs, the river sustains the city of Durant. Ranked the fastest growing rural city in Oklahoma, Durant is home to Southeastern Oklahoma State University and the headquarters of the Choctaw Na!on of Oklahoma.
Oka’ Yanahli [oh-kuh yuh-naw-lee] means 'flowing water' in Chickasaw."" Their conservation efforts include restoration and protection of the Blue river to improve flow patterns and increase the sustainability of the wildlands that surround the river.
Please note that although this field site is geographically located in D08 Ozarks complex, the vegetation and stream characteristics of BLUE most closely align with the characteristics of D11 Southern Plains - therefore this site is part of NEON's D11. 
Total data products planned for this site: 70
","Yes","16C/60.8F","980 mm","Grassland/Herbaceous, Pasture/Hay","289 m","Watershed Size
325 km2
USGS HUC: h11140102
","Airborne Remote Sensing Surveys
Remote sensing surveys of this site collect lidar, spectrometer and high resolution RGB camera data.
Meteorological Measurements
This site has one meteorological station located in the riparian area of the stream that is outfitted with the a subset of the same sensors used at terrestrial sites. Measurements include wind speed and direction, air temperature, barometric pressure, relative humidity, shortwave radiation, and PAR.
Phenocams
This site has one phenocam near the stream.
Surface Water Sensor Stations
This site has one near bank sensor station and one buoy-mounted sensor station. The automated instrument measurements at the buoy site are: PAR at water surface, PAR below water surface, temperature at specific depth in surface water, water quality (specific conductivity, chlorophyll a, dissolved oxygen content, pH, turbidity, and fDOM), and nitrate.  Near the bank, the automated instrument measurements are: PAR below water surface, elevation of surface water, and temperature in surface water.
Groundwater Wells
Eight groundwater wells throughout the site collect specific conductivity, water tempertaure, and elevation of groundwater.
Observational Sampling
Field ecologists collect the following types of observational data at this site:
Aquatic Organisms

Aquatic Microbes (surface water, benthic)
Fish
Macroinvertebrates
Microalgae
Plants and Macroalgae

Biogeochemical

Plants
Reaeration
Sediment
Water and Particulates

Physical Aquatic     

Discharge
Morphologic Maps
Riparian Assessment

","","Domain 11
1200 South Woodrow, Suite 100Denton, TX 76205
​Telephone: 940.222.4259
Contact us
","","","","",""
"Teakettle 2 Creek","TECR","Pacific Southwest","D17","CA","","36.955280000000","-119.026990000000","Core Aquatic","Wadeable Stream","U.S. Forest Service","Located in mixed conifer and red fir forest at high elevation in the southern Sierra Nevada, this core aquatic site is coupled with a relocatable terrestrial site, Lower Teakettle. This is a creek site.
Total data products planned for this site: 78
","Yes","7C/44.6F","941 mm","Evergreen Forest","2011 m","Watershed Size
3.02 km2
USGS HUC: h18030010
Geology
Granodiorite and quartz monzonite. Mesozoic era.
","Airborne Remote Sensing Surveys
Remote sensing surveys of this site collect lidar, spectrometer and high resolution RGB camera data.
Meteorological Measurements
This site has one meteorological station located in the riparian area. The met station is outfitted with a subset of the same sensors used at terrestrial sites. Measurements include wind speed and direction, air temperature, barometric pressure, relative humidity, shortwave radiation, and PAR.
Phenocams
This site has one phenocam near the stream.
Surface Water Sensor Stations
This site has one upstream sensor station and one downstream sensor station. Measurements include PAR, temperature, water quality [specific conductivity, chlorophyll a, dissolved oxygen content, pH, turbidity, and fluorescent dissolved organic matter (only downstream)], and nitrate is measured at the downstream station.
Groundwater Wells
Due to logistical and permitting issues, this aquatic site does not have groundwater wells.
Observational Sampling
Field ecologists collect the following types of observational data at this site:
Aquatic Organisms

Aquatic Microbes (surface water, benthic)
Fish
Macroinvertebrates
Microalgae
Plants and Macroalgae

Biogeochemical

Plants
Reaeration
Sediment
Water and Particulates

Physical Aquatic

Discharge
Morphologic Maps
Riparian Assessment

","","Domain 17
4727 West Shaw AvenueFresno, CA 93722
​Telephone: 555.396.4119
Contact us
","","","","",""
"Lower Hop Brook","HOPB","Northeast","D01","MA","","42.471790000000","-72.329630000000","Core Aquatic","Wadeable Stream","Quabbin DCR - Division of Water Supply Protection","The Lower Hop Brook site is a 3rd-4th order wadeable stream that flows into the Quabbin Reservoir in central Massachusetts. The section of stream selected by NEON flows from Shutesbury Road to the inlet of reservoir. Several beaver dams and ponds characterize the area upstream of Shutesbury Road. The Lower Hop Brook site is a clear-water, moderate gradient stream with gradient increasing as the stream approaches the reservoir. Minimal beaver activity (dams, ponds) is anticipated in the upper portions of the reach during the life of the NEON project. Large debris dams characterize the reach downstream. Substrate ranges from sand to cobbles, boulders, and finally bedrock outcrops downstream. The stream canopy is predominantly a mixed deciduous, northern hardwood forest with beech trees near the stream.
Total data products planned for this site: 78
","Limited","8C/46.4F","967 mm","Evergreen Forest, Mixed Forest","260 m","Watershed Size
12.8 km2
USGS HUC: h01080204
Geology
Partridge formation, micaceous schist, and apmphibolite.  Middle Devonian.
","Airborne Remote Sensing Surveys
Remote sensing surveys of this site collect lidar, spectrometer and high resolution RGB camera data.
Meteorological Measurements
This site has one meteorological station located in the riparian area. The met station is outfitted with a subset of the same sensors used at terrestrial sites. Measurements include wind speed and direction, air temperature, barometric pressure, relative humidity, shortwave radiation, and PAR.
Phenocams
This site has one phenocam near the stream.
Surface Water Sensor Stations
This site has one upstream sensor station and one downstream sensor station. Measurements include PAR, temperature, water quality [specific conductivity, chlorophyll a, dissolved oxygen content, pH, turbidity, and fluorescent dissolved organic matter (only downstream)], and nitrate is measured at the downstream station.
Groundwater Wells
Four groundwater wells throughout the site collect specific conductivity, water tempertaure, and elevation of groundwater.
Observational Sampling
Field ecologists collect the following types of observational data at this site:
Aquatic Organisms

Aquatic Microbes
Fish
Macroinvertebrates
Microalgae
Plants and Macroalgae

Biogeochemical

Plants
Reaeration
Sediment
Water and Particulates

Physical Aquatic  

Discharge
Morphologic Maps
Riparian Assessment

","","Domain 01
166 Boulder Drive, Suite 101Fitchburg, MA 01420
Telephone: 978.627.4010
Contact us
","HOPB - field tech in stream during winter - image","","","",""
"Martha Creek","MART","Pacific Northwest","D16","WA","","45.791250000000","-121.931960000000","Core Aquatic","Wadeable Stream","U.S. Forest Service","Total data products planned for this site: 73
","Yes","8C/46.4F","2530 mm","Evergreen Forest","434 m","Watershed Size
7.67km2
USGS HUC: h17070105
Geology
Basalt and andesite.  Pleistocene to Holocene.
","Airborne Remote Sensing Surveys
Remote sensing surveys of this site collect lidar, spectrometer and high resolution RGB camera data.
Meteorological Measurements
This site has one meteorological station located in the riparian area. The met station is outfitted with a subset of the same sensors used at terrestrial sites. Measurements include wind speed and direction, air temperature, barometric pressure, relative humidity, shortwave radiation, and PAR.
Phenocams
This site has one phenocam near the stream.
Surface Water Sensor Stations
This site has one upstream sensor station and one downstream sensor station. Measurements include PAR, temperature, water quality [specific conductivity, chlorophyll a, dissolved oxygen content, pH, turbidity, and fluorescent dissolved organic matter (only downstream)], and nitrate is measured at the downstream station.
Groundwater Wells
Six groundwater wells throughout the site collect specific conductivity, water tempertaure, and elevation of groundwater.
Observational Sampling
Field ecologists collect the following types of observational data at this site:
Aquatic Organisms

Aquatic Microbes (surface water, benthic)
Fish
Macroinvertebrates
Microalgae
Plants and Macroalgae

Biogeochemical

Plants
Reaeration
Sediment
Water and Particulates

Physical Aquatic     

Discharge
Morphologic Maps
Riparian Assessment

","","Domain 16
1211 SE Cardinal Court, Suite 120Vancouver, WA 98683
​Telephone: 360.566.2857
Contact us
","MART-D16-Stream-Morphology-Map","","","",""
