"uid","namedLocation","plotID","collectDate","identifiedDate","eventID","subsampleID","scientificName","acceptedTaxonID","taxonRank","family","subfamily","tribe","subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","identificationQualifier","identificationReferences","identificationProtocolVersion","scientificNameAuthorship","sexOrAge","individualCount","sampleCondition","archiveMedium","archiveFacilityID","deprecatedVialID","identifiedBy","laboratoryName","remarks","dataQF"
"b7a056fc-e046-4d46-9d65-1cecef39b024","TALL_001.tickPlot.tck","TALL_001","2014-05-27T14:35Z","2015-02-02T17:00Z","TALL_001.20140527","TALL_001.20140527.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Male",1,"OK","90% ethanol","125246",NA,"Philip Panhorst","Georgia Southern University",NA,""
"80db705e-e125-46e6-b835-37a79a5753ba","TALL_001.tickPlot.tck","TALL_001","2014-05-27T14:35Z","2015-02-02T17:00Z","TALL_001.20140527","TALL_001.20140527.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Female",1,"OK","90% ethanol","125246",NA,"Philip Panhorst","Georgia Southern University",NA,""
"ba451988-bdcb-4cdb-bdd6-fdc61c345796","TALL_001.tickPlot.tck","TALL_001","2014-05-27T14:35Z","2015-02-02T17:00Z","TALL_001.20140527","TALL_001.20140527.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",17,"OK","90% ethanol","125246",NA,"Philip Panhorst","Georgia Southern University",NA,""
"dffbacf1-f327-4924-9455-8cb0bb83c852","TALL_008.tickPlot.tck","TALL_008","2014-05-27T16:37Z","2015-02-02T17:00Z","TALL_008.20140527","TALL_008.20140527.DERVAR.F","Dermacentor variabilis","DERVAR","species","Ixodidae",NA,NA,NA,"Dermacentor",NA,"variabilis",NA,NA,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf","Say","Female",1,"OK","90% ethanol","124275",NA,"Philip Panhorst","Georgia Southern University",NA,""
"37fe4a52-f223-471b-938a-aa950de27dc8","TALL_008.tickPlot.tck","TALL_008","2014-05-27T16:37Z","2015-02-02T17:00Z","TALL_008.20140527","TALL_008.20140527.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Female",1,"OK","90% ethanol","124275",NA,"Philip Panhorst","Georgia Southern University",NA,""
"b1c155a7-3cb8-436e-a71c-ec3cad353c97","TALL_008.tickPlot.tck","TALL_008","2014-05-27T16:37Z","2015-02-02T17:00Z","TALL_008.20140527","TALL_008.20140527.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",6,"OK","90% ethanol","124275",NA,"Philip Panhorst","Georgia Southern University",NA,""
"b777f8b2-7e69-417c-9048-84f34c167e69","TALL_002.tickPlot.tck","TALL_002","2014-05-27T18:11Z","2015-02-05T17:00Z","TALL_002.20140527","TALL_002.20140527.AMBAME.M","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Male",3,"OK","90% ethanol","125252",NA,"Philip Panhorst","Georgia Southern University",NA,""
"46d08534-d87f-483d-9ebd-f11c9496ddee","TALL_002.tickPlot.tck","TALL_002","2014-05-27T18:11Z","2015-02-05T17:00Z","TALL_002.20140527","TALL_002.20140527.AMBAME.F","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Female",3,"OK","90% ethanol","125252",NA,"Philip Panhorst","Georgia Southern University",NA,""
"529cc3ad-8524-4606-9895-c844e7113a10","TALL_002.tickPlot.tck","TALL_002","2014-05-27T18:11Z","2015-02-05T12:00Z","TALL_002.20140527","TALL_002.20140527.AMBAME.N","Amblyomma americanum","AMBAME","species","Ixodidae",NA,NA,NA,"Amblyomma",NA,"americanum",NA,NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","Linnaeus","Nymph",59,"OK","95% ethanol","125252",NA,"Philip Panhorst","Georgia Southern University",NA,"legacyData"
"28257872-4207-4236-8fd5-756928adf453","TALL_006.tickPlot.tck","TALL_006","2014-05-28T13:49Z","2015-02-09T17:00Z","TALL_006.20140528","TALL_006.20140528.AMBSPP.N","Amblyomma spp.","AMBSPP","genus","Ixodidae",NA,NA,NA,"Amblyomma",NA,"spp.",NA,NA,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf","","Nymph",6,"OK","90% ethanol","125269",NA,"Lorenza Beati","Georgia Southern University",NA,""
