"uid","namedLocation","plotID","collectDate","identifiedDate","sampleID","sampleCode","subsampleID","scientificName","taxonID","family","subtribe","subfamily","tribe","genus","subgenus","specificEpithet","infraspecificEpithet","identificationQualifier","scientificNameAuthorship","sexOrAge","individualCount","sampleCondition","archiveMedium","archiveFacilityID","deprecatedVialID","identifiedBy","laboratoryName","remarks","identificationReferences","identificationProtocolVersion","dataQF"
"4ae96160-84d3-4ceb-9653-ca4802c81560","TALL_001.tickPlot.tck","TALL_001","2014-05-27T14:35Z","2015-02-02T17:00Z","TALL_001.20140527",NA,"TALL_001.20140527.AMBAME.N","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Ambylomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Nymph",17,"OK","90% ethanol","125246",NA,"Philip Panhorst","Georgia Southern University",NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"9c80b92e-6a43-43ca-8435-378cb840f942","TALL_001.tickPlot.tck","TALL_001","2014-05-27T14:35Z","2015-02-02T17:00Z","TALL_001.20140527",NA,"TALL_001.20140527.AMBAME.F","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Ambylomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Female",1,"OK","90% ethanol","125246",NA,"Philip Panhorst","Georgia Southern University",NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"d51a9f90-bcdc-463a-a3df-b7f616ba5344","TALL_001.tickPlot.tck","TALL_001","2014-05-27T14:35Z","2015-02-02T17:00Z","TALL_001.20140527",NA,"TALL_001.20140527.AMBAME.M","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Ambylomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Male",1,"OK","90% ethanol","125246",NA,"Philip Panhorst","Georgia Southern University",NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"60add1b7-dfda-41ab-a59f-92a7777dfdc5","TALL_008.tickPlot.tck","TALL_008","2014-05-27T16:37Z","2015-02-02T17:00Z","TALL_008.20140527",NA,"TALL_008.20140527.DERVAR.F","Dermacentor variabilis","DERVAR","Ixodidae",NA,"Rhipicephalinae",NA,"Dermacentor",NA,"variabilis",NA,NA,"(Say, 1821)","Female",1,"OK","90% ethanol","124275",NA,"Philip Panhorst","Georgia Southern University",NA,"Yunker, C. E., Keirans, J. E., Clifford, C. M., and E. R. Easton. 1986. Dermacentor ticks (Acari: Ixodoidea: Ixodidae) of the New World: a scanning electron microscope atlas. Proceedings of the Entomological Society of Washington, 88(4):609-627.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"c121f37b-ae24-4448-a4d7-d40c3d069983","TALL_008.tickPlot.tck","TALL_008","2014-05-27T16:37Z","2015-02-02T17:00Z","TALL_008.20140527",NA,"TALL_008.20140527.AMBAME.F","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Ambylomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Female",1,"OK","90% ethanol","124275",NA,"Philip Panhorst","Georgia Southern University",NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"54e77712-abc7-4dfd-aebf-5cf73f39af78","TALL_008.tickPlot.tck","TALL_008","2014-05-27T16:37Z","2015-02-02T17:00Z","TALL_008.20140527",NA,"TALL_008.20140527.AMBAME.N","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Ambylomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Nymph",6,"OK","90% ethanol","124275",NA,"Philip Panhorst","Georgia Southern University",NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"095323d3-44f0-4861-9e1e-48e094a07d32","TALL_002.tickPlot.tck","TALL_002","2014-05-27T18:11Z","2015-02-05T17:00Z","TALL_002.20140527",NA,"TALL_002.20140527.AMBAME.F","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Female",3,"OK","90% ethanol","125252",NA,"Philip Panhorst","Georgia Southern University",NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"1747ec4c-a445-495e-8c54-a54c7c9fc2a7","TALL_002.tickPlot.tck","TALL_002","2014-05-27T18:11Z","2015-02-05T12:00Z","TALL_002.20140527",NA,"TALL_002.20140527.AMBAME.N","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Nymph",59,"OK","95% ethanol","125252",NA,"Philip Panhorst","Georgia Southern University",NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf","legacyData"
"50c0a84a-948e-42d2-b573-e36817532323","TALL_002.tickPlot.tck","TALL_002","2014-05-27T18:11Z","2015-02-05T17:00Z","TALL_002.20140527",NA,"TALL_002.20140527.AMBAME.M","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Male",3,"OK","90% ethanol","125252",NA,"Philip Panhorst","Georgia Southern University",NA,"Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"66cbce7a-7c57-4f3e-9e6d-6dba02c11656","TALL_006.tickPlot.tck","TALL_006","2014-05-28T13:49Z","2015-02-09T17:00Z","TALL_006.20140528",NA,"TALL_006.20140528.AMBSPP.N","Amblyomma spp.","AMBSPP","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"",NA,NA,"","Nymph",6,"OK","90% ethanol","125269",NA,"Lorenza Beati","Georgia Southern University",NA,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"2d0c6f8c-ce30-4dcb-896a-6582d4091ec3","TALL_003.tickPlot.tck","TALL_003","2014-05-28T15:05Z","2015-02-09T17:00Z","TALL_003.20140528",NA,"TALL_003.20140528.AMBSPP.N","Amblyomma spp.","AMBSPP","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"",NA,NA,"","Nymph",41,"OK","90% ethanol","125261",NA,"Lorenza Beati","Georgia Southern University",NA,"Keirans, J. E., and L. A. Durden. 1998. Illustrated Key to Nymphs of the Tick Genus Amblyomma (Acari: Ixodidae) Found in the United States. Journal of Medical Entomology, 35:489–495.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
"fbe3c341-b94b-42d4-a00b-35c93b7acf91","TALL_001.tickPlot.tck","TALL_001","2014-06-16T13:17Z","2015-02-11T17:00Z","TALL_001.20140616",NA,"TALL_001.20140616.AMBAME.M","Amblyomma americanum","AMBAME","Ixodidae",NA,"Ambylomminae",NA,"Amblyomma",NA,"americanum",NA,NA,"(Linneaus, 1758)","Male",2,"OK","90% ethanol","125247",NA,"Philip Panhorst","Georgia Southern University","desiccated remains of what appeared to be a nymph included in sample","Cooley, R. A. and G. M. Kohls. 1944. The genus Amblyomma (ixodidae) in the United States. The Journal of Parasitology, 30(2):77-111.","GSU_tickIdentification_SOP_2016-11-01.pdf",""
