table,fieldName,description,dataType,units,downloadPkg
NSW_15_minute,startDateTime,"Date and time at which a sampling is initiated",dateTime,NA,basic
NSW_15_minute,endDateTime,"Date and time at which a sampling is completed",dateTime,NA,basic
NSW_15_minute,surfWaterNitrateMean,"Arithmetic mean nitrate concentration in surface water in micromoles per liter",real,micromolesPerLiter,basic
NSW_15_minute,surfWaterNitrateMinimum,"Minimum nitrate concentration in surface water in micromoles per liter",real,micromolesPerLiter,basic
NSW_15_minute,surfWaterNitrateMaximum,"Maximum nitrate concentration in surface water in micromoles per liter",real,micromolesPerLiter,basic
NSW_15_minute,surfWaterNitrateVariance,"Variance nitrate concentration in surface water in micromoles per liter",real,micromolesPerLiter,basic
NSW_15_minute,surfWaterNitrateNumPts,"Number of points used to calculate the arithmetic mean nitrate concentration in surface water",real,number,basic
NSW_15_minute,surfWaterNitrateExpUncert,"Expanded uncertainty for nitrate concentration in surface water in micromoles per liter",real,micromolesPerLiter,basic
NSW_15_minute,surfWaterNitrateStdErMean,"Standard error of the mean for nitrate concentration in surface water in micromoles per liter",real,micromolesPerLiter,basic
NSW_15_minute,rangeFailQM,"Quality metric that summarizes the failed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,rangePassQM,"Quality metric that summarizes the passed outcomes of the range test over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,rangeNAQM,"Quality metric that summarizes when the range test could not be run over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,persistenceFailQM,"Quality metric that summarizes  the failed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,persistencePassQM,"Quality metric that summarizes the passed outcomes of the persistence test over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,persistenceNAQM,"Quality metric that summarizes when the persistence test could not be run over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,stepFailQM,"Quality metric that summarizes the failed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,stepPassQM,"Quality metric that summarizes the passed outcomes of the step test over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,stepNAQM,"Quality metric that summarizes when the step test could not be run over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,nullFailQM,"Quality metric that summarizes the failed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,nullPassQM,"Quality metric that summarizes the passed outcomes of the null test over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,nullNAQM,"Quality metric that summarizes when the null test could not be run over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,gapFailQM,"Quality metric that summarizes the failed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,gapPassQM,"Quality metric that summarizes the passed outcomes of the gap test over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,gapNAQM,"Quality metric that summarizes when the gap test could not be run over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,spikeFailQM,"Quality metric that summarizes the failed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,spikePassQM,"Quality metric that summarizes the passed outcomes of the spike test over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,spikeNAQM,"Quality metric that summarizes when the spike test could not be run over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,nitrateInternalHumidityPassQM,"Nitrate quality metric that summarizes the passed outcomes of the internal humidity test over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,nitrateInternalHumidityFailQM,"Nitrate quality metric that summarizes the failed outcomes of the internal humidity test over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,nitrateInternalHumidityNAQM,"Nitrate quality metric that summarizes when the internal humidity test could not be run over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,nitrateLightDarkSpectralRatioPassQM,"Nitrate quality metric that summarizes the passed outcomes of the light/dark spectral test over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,nitrateLightDarkSpectralRatioFailQM,"Nitrate quality metric that summarizes the failed outcomes of the light/dark spectral test over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,nitrateLightDarkSpectralRatioNAQM,"Nitrate quality metric that summarizes when the light/dark spectral test could not be run over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,validCalFailQM,"Quality metric that summarizes the failed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,validCalPassQM,"Quality metric that summarizes the passed outcomes of the valid calibration check over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,validCalNAQM,"Quality metric that summarizes when the valid calibration check could not be run over the averaging period, as a percent",real,percent,expanded
NSW_15_minute,alphaQM,"Quality metric detailing the outcomes of the alpha quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
NSW_15_minute,betaQM,"Quality metric detailing the outcomes of the beta quality flag over the averaging period, as a percent and detailed in NEON.DOC.001113",real,percent,expanded
NSW_15_minute,finalQF,"Quality flag indicating whether a data product has passed or failed an overall assessment of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass)",unsigned integer,NA,basic
NSW_15_minute,finalQFSciRvw,"Quality flag indicating whether a data product has failed a science review of its quality, detailed in NEON.DOC.001113 (1=fail, 0=pass/not-reviewed)",unsigned integer,NA,expanded
