"individualID","namedLocation","domainID","siteID","uid.x","date.x","eventID.x","plotID.x","tagStatus","growthForm","plantStatus","stemDiameter","measurementHeight","height","baseCrownHeight","breakHeight","breakDiameter","maxCrownDiameter","ninetyCrownDiameter","canopyPosition","shape","basalStemDiameter","basalStemDiameterMsrmntHeight","maxBaseCrownDiameter","ninetyBaseCrownDiameter","remarks.x","recordedBy.x","measuredBy.x","dataQF.x","points","uid.y","date.y","eventID.y","plotID.y","subplotID","nestedSubplotID","pointID","stemDistance","stemAzimuth","cfcOnlyTag","supportingStemIndividualID","previouslyTaggedAs","samplingProtocolVersion","taxonID","scientificName","taxonRank","identificationReferences","morphospeciesID","morphospeciesIDRemarks","identificationQualifier","remarks.y","measuredBy.y","recordedBy.y","dataQF.y","api.utmZone","adjNorthing","adjEasting","adjCoordinateUncertainty","adjDecimalLatitude","adjDecimalLongitude","api.elevation","adjElevationUncertainty"
"NEON.PLA.D16.WREF.02001","WREF_071.basePlot.vst","D16","WREF","32080b7f-c5bc-4cf7-ad26-32abda52a235","2017-11-01","vst_WREF_2017","WREF_071","ok","sapling","Live",NA,NA,0.9,NA,NA,NA,NA,NA,NA,"",1.1,10,NA,NA,"","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","legacyData","WREF_071.basePlot.vst.NA","2a951b9a-bdf0-48cd-bfc4-2d5a0cce1af5","2017-11-01","vst_WREF_2017","WREF_071",23,2,NA,NA,NA,"N",NA,NA,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",NA,"",NA,"","","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEON.PLA.D16.WREF.02002","WREF_071.basePlot.vst","D16","WREF","0582c66c-de12-4dc1-8cb5-f5c786119ad2","2017-11-01","vst_WREF_2017","WREF_071","ok","single bole tree","Dead, broken bole",29.9,130,4,NA,NA,16,NA,NA,NA,"",NA,NA,NA,NA,"","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","legacyData","WREF_071.basePlot.vst.25","65e9f9dd-cbe2-41ea-990a-63afb0ab6a54","2017-11-01","vst_WREF_2017","WREF_071",23,2,25,7.6,272.2,"N",NA,NA,"NEON.DOC.000987vG","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",NA,"",NA,"","","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=",NA,"10N",5075561.95543463,580903.306497729,0.78,45.82887,-121.958281,373.3,1.21
"NEON.PLA.D16.WREF.02003","WREF_071.basePlot.vst","D16","WREF","7cf54e49-79ae-4e03-82cf-7b9e2c1d1ab3","2017-11-01","vst_WREF_2017","WREF_071","ok","sapling","Live",NA,NA,1.6,NA,NA,NA,NA,NA,NA,"",1.6,10,NA,NA,"","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","legacyData","WREF_071.basePlot.vst.NA","ca11e57e-b967-46f3-b577-83f4c8c4d9e9","2017-11-01","vst_WREF_2017","WREF_071",23,2,NA,NA,NA,"N",NA,NA,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",NA,"",NA,"","","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEON.PLA.D16.WREF.02004","WREF_071.basePlot.vst","D16","WREF","f6f74ea2-6099-4b66-8b20-72b6a2c0cbbe","2017-11-01","vst_WREF_2017","WREF_071","ok","single bole tree","Dead, broken bole",46.2,130,6.5,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","legacyData","WREF_071.basePlot.vst.25","85571d02-fdd9-4e7f-8781-b2d5ee7c0caa","2017-11-01","vst_WREF_2017","WREF_071",23,2,25,5.8,331.8,"N",NA,NA,"NEON.DOC.000987vG","PSMEM","Pseudotsuga menziesii (Mirb.) Franco var. menziesii","variety",NA,"",NA,"","","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=",NA,"10N",5075566.7752473,580908.160101458,0.78,45.82887,-121.958281,373.3,1.21
"NEON.PLA.D16.WREF.02005","WREF_071.basePlot.vst","D16","WREF","6417848f-afad-4913-9798-58e7de978733","2017-11-01","vst_WREF_2017","WREF_071","ok","small tree","Live",5.5,130,3.7,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","legacyData","WREF_071.basePlot.vst.NA","ed4a4df6-1040-4350-a2cb-b718764b00c9","2017-11-01","vst_WREF_2017","WREF_071",23,2,NA,NA,NA,"N",NA,NA,"NEON.DOC.000987vG","ACCI","Acer circinatum Pursh","species",NA,"",NA,"","","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEON.PLA.D16.WREF.02005","WREF_071.basePlot.vst","D16","WREF","e79a0eb7-ca49-431b-b798-77cac376b2f0","2017-11-01","vst_WREF_2017","WREF_071","ok","small tree","Live",5,130,3.7,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","legacyData","WREF_071.basePlot.vst.NA","ed4a4df6-1040-4350-a2cb-b718764b00c9","2017-11-01","vst_WREF_2017","WREF_071",23,2,NA,NA,NA,"N",NA,NA,"NEON.DOC.000987vG","ACCI","Acer circinatum Pursh","species",NA,"",NA,"","","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEON.PLA.D16.WREF.02005","WREF_071.basePlot.vst","D16","WREF","7e830de4-5339-4db8-9686-a6f76c7d2c26","2017-11-01","vst_WREF_2017","WREF_071","ok","small tree","Live",4.6,130,3.7,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","legacyData","WREF_071.basePlot.vst.NA","ed4a4df6-1040-4350-a2cb-b718764b00c9","2017-11-01","vst_WREF_2017","WREF_071",23,2,NA,NA,NA,"N",NA,NA,"NEON.DOC.000987vG","ACCI","Acer circinatum Pursh","species",NA,"",NA,"","","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEON.PLA.D16.WREF.02005","WREF_071.basePlot.vst","D16","WREF","eeaf4686-1b9c-4526-a332-6e9522a7fb66","2017-11-01","vst_WREF_2017","WREF_071","ok","small tree","Live",3.4,130,3.7,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","legacyData","WREF_071.basePlot.vst.NA","ed4a4df6-1040-4350-a2cb-b718764b00c9","2017-11-01","vst_WREF_2017","WREF_071",23,2,NA,NA,NA,"N",NA,NA,"NEON.DOC.000987vG","ACCI","Acer circinatum Pursh","species",NA,"",NA,"","","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEON.PLA.D16.WREF.02006","WREF_071.basePlot.vst","D16","WREF","5e3c270d-267c-489f-bc72-196a35484cd1","2017-11-01","vst_WREF_2017","WREF_071","ok","small tree","Live",5.2,130,1.6,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","legacyData","WREF_071.basePlot.vst.NA","9a9c786a-1bab-4aaa-a517-8fecabcbdd34","2017-11-01","vst_WREF_2017","WREF_071",23,2,NA,NA,NA,"N",NA,NA,"NEON.DOC.000987vG","THPL","Thuja plicata Donn ex D. Don","species",NA,"",NA,"","","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NEON.PLA.D16.WREF.02007","WREF_071.basePlot.vst","D16","WREF","efb2f5a7-5c3c-4470-8d46-d967076c6d96","2017-11-01","vst_WREF_2017","WREF_071","ok","single bole tree","Live",14.5,130,7.5,NA,NA,NA,NA,NA,NA,"",NA,NA,NA,NA,"","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","legacyData","WREF_071.basePlot.vst.25","657bed65-873e-4d48-8fd6-5682f201aed3","2017-11-01","vst_WREF_2017","WREF_071",23,2,25,7,344.6,"N",NA,NA,"NEON.DOC.000987vG","TSHE","Tsuga heterophylla (Raf.) Sarg.","species",NA,"",NA,"","","Mvo1bt03JMTZR6DZIA23lJNZxcUJiaM9uFJUitaYL48=","OqqU1CZip9fnMkwChdvw+TeVymaF1ZcYZSPCx88p1og=",NA,"10N",5075568.41235511,580909.042003072,0.78,45.82887,-121.958281,373.3,1.21
