"uid","namedLocation","domainID","siteID","plotID","plotType","sampleID","ligninSampleID","collectDate","analysisDate","analyticalRepNumber","dryMass","ligninPercent","cellulosePercent","measurementQF","accuracyQF","remarks","laboratoryName","testMethod","analyzedBy","reviewedBy","dataQF"
"246bed7f-5e9b-49b2-a3e0-6d18dd5488aa","MOAB_001.basePlot.cfc","D13","MOAB","MOAB_001","distributed","S9R44vg6v28f+Zts8A8BN+Exr3BnFsIB79W8iF9t0IU=","S9R44vg6v28f+Zts8A8BN+Exr3BnFsIBNQJruMsGre0=","2017-09-07T17:30Z","2018-02-07",1,0.566,3.77,28.6,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"c2d2e5e1-2b8c-4a31-9102-4958d4835bd6","MOAB_009.basePlot.cfc","D13","MOAB","MOAB_009","distributed","S9R44vg6v29a3iYIcLakVBjap3adP+f7IHuLsgccAVE=","S9R44vg6v29a3iYIcLakVBjap3adP+f78ZtLoBLdzcA=","2017-09-07T19:00Z","2018-02-07",1,0.564,2.2,33.85,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"282c331d-2fa4-4c59-ab99-cfaf785b058d","MOAB_010.basePlot.cfc","D13","MOAB","MOAB_010","distributed","S9R44vg6v29Az0sdlbKhGb3OfO6BV3ZT2YDmW4B2NYQ=","S9R44vg6v29Az0sdlbKhGb3OfO6BV3ZTSDO4My8H6tE=","2017-09-07T20:00Z","2018-02-07",1,0.522,2.88,30.6,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"eb646a2f-3443-4aa0-95d3-8aa0c6bfc936","MOAB_046.basePlot.cfc","D13","MOAB","MOAB_046","tower","S9R44vg6v2/MrQsjQZV30DSyddux20m2h/Rcmy8/F5E=","S9R44vg6v2/MrQsjQZV30DSyddux20m2SAVScVRQCzg=","2017-09-09T17:00Z","2018-02-07",1,0.543,3.17,31.77,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"0bed0ef8-da0b-43b9-8a18-bd9036db4e57","MOAB_045.basePlot.cfc","D13","MOAB","MOAB_045","tower","S9R44vg6v29ha3pkiv5lPCuTCeomUQhsI60KGC1Fc44=","S9R44vg6v29ha3pkiv5lPCuTCeomUQhs341SS5KYrY4=","2017-09-09T19:00Z","2018-02-07",1,0.527,3.11,30.57,"0","0","This is a full duplicate","University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"0bed0ef8-da0b-43b9-8a18-bd9036db4e58","MOAB_045.basePlot.cfc","D13","MOAB","MOAB_045","tower","S9R44vg6v29ha3pkiv5lPCuTCeomUQhsI60KGC1Fc44=","S9R44vg6v29ha3pkiv5lPCuTCeomUQhs341SS5KYrY4=","2017-09-09T19:00Z","2018-02-07",1,0.527,3.11,30.57,"0","0","This is a full duplicate","University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"0bed0ef8-da0b-43b9-8a18-bd9036db4e59","MOAB_045.basePlot.cfc","D13","MOAB","MOAB_045","tower","S9R44vg6v29ha3pkiv5lPCuTCeomUQhsI60KGC1Fc44=","S9R44vg6v29ha3pkiv5lPCuTCeomUQhs341SS5KYrY4=","2017-09-09T19:00Z","2018-02-07",1,0.527,3.11,37.2,"0","0","This is a 3rd duplicate with inconsistent data","University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"eb61baed-2923-455a-819d-6cc78e45e388","MOAB_047.basePlot.cfc","D13","MOAB","MOAB_047","tower","S9R44vg6v2/Sa7hSEKNKHKnsYa4CbdeP+5AeCh0emEk=","S9R44vg6v2/Sa7hSEKNKHKnsYa4CbdePJkibog+V1IQ=","2017-09-09T21:00Z","2018-02-07",1,0.568,3.52,30.3,"0","0",NA,"University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"58010fe8-5ffe-400c-abb4-037ee21633b5","MOAB_002.basePlot.cfc","D13","MOAB","MOAB_002","distributed","S9R44vg6v2+SKjSdx5MDkqDKvmVLtGDsEvBR62FNuys=","S9R44vg6v2+SKjSdx5MDkqDKvmVLtGDsqZtOLaPBE1s=","2017-09-10T17:00Z","2018-02-07",1,0.525,NA,31.51,"0","0","These duplicates contain mismatched NAs","University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
"58010fe8-5ffe-400c-abb4-037ee21633b6","MOAB_002.basePlot.cfc","D13","MOAB","MOAB_002","distributed","S9R44vg6v2+SKjSdx5MDkqDKvmVLtGDsEvBR62FNuys=","S9R44vg6v2+SKjSdx5MDkqDKvmVLtGDsqZtOLaPBE1s=","2017-09-10T17:00Z","2018-02-07",1,NA,5.13,31.51,"0","0","These duplicates contain mismatched NAs","University of Florida Wetland Biogeochemistry Laboratory","WBL-M-028","bKF36824dpcABkIQiw5BLQ==","5NMApxg5Cd0pWFY84VRdIg==",NA
