"DPID","DPName","ABBY","ARIK","BARC","BARR","BART","BIGC","BLAN","BLDE","BLUE","BLWA","BONA","CARI","CLBJ","COMO","CPER","CRAM","CUPE","DCFS","DEJU","DELA","DSNY","FLNT","GRSM","GUAN","GUIL","HARV","HEAL","HOPB","JERC","JORN","KING","KONA","KONZ","LAJA","LECO","LENO","LEWI","LIRO","MART","MAYF","MCDI","MCRA","MLBS","MOAB","NIWO","NOGP","OAES","OKSR","ONAQ","ORNL","OSBS","POSE","PRIN","PRLA","PRPO","PUUM","REDB","RMNP","SCBI","SERC","SJER","SOAP","SRER","STEI","STER","SUGG","SYCA","TALL","TEAK","TECR","TOMB","TOOK","TOOL","TREE","UKFS","UNDE","WALK","WLOU","WOOD","WREF","YELL"
"DP1.00001.001","2D wind speed and direction","1","1",1,"1","1","1","1","1","1",NA,"1","1","1","1","1","1","1","1","1","1","1",1,"1","1","1","1","1","1","1",1,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1",1,1,"1","1","1","0",NA,"1","1","1","1","1","1","1","1","1","1"
"DP1.00002.001","Single aspirated air temperature","1","1",1,"1","1","0","1","0","0",NA,"1","1","1","1","1","1","0","1","1","1","1",1,"1","1","0","1","1","1","1",1,"1","1","1","1","1","1","1","1","0","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","1","1","1","0","1","1","1",1,1,"1","1","0","0",NA,"1","1","1","1","1","1","1","1","1","0"
"DP1.00003.001","Triple aspirated air temperature","1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"0",NA,"1","1","1","0","0","1","1",1,NA,NA,"1","0",NA,NA,NA,"1","1","1","1",NA,NA,"1","1","0"
"DP1.00004.001","Barometric pressure","1","1",1,"1","1","0","1","0","0",NA,"1","1","1","0","1","1","0","1","1","1","1",1,"1","1","0","1","1","1","1",1,"1","1","1","1","1","1","1","0","1","1","1","1","1","1","0","1","1","0","1","1","1","1","1","0","1","0","0","1","1","1","0","1","1","1",1,1,"1","1","0","0",NA,"0","1","1","1","1","1","0","1","1","0"
"DP1.00005.001","IR biological temperature","1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"0",NA,"1","1","1","0","1","1","1",1,NA,NA,"1","0",NA,NA,NA,"1","1","1","1",NA,NA,"1","1","0"
"DP1.00006.001","Precipitation","1","1",NA,"1","1","0","1",NA,"0",NA,"1",NA,"1",NA,"1",NA,"0","1","1","1","1",NA,"1","1","0","1","1",NA,"1",1,NA,"1","1","1",NA,"1",NA,NA,NA,NA,"1","0","1","1","1","1","1",NA,"1","1","1",NA,"1",NA,NA,"0","0","1","1","1","0","1","1","1",1,NA,"1","1","0",NA,NA,"0","1","1","1","1",NA,"1","1","0","0"
"DP1.00007.001","3D wind speed, direction and sonic temperature","0",NA,NA,"0","0",NA,"0",NA,NA,NA,"0",NA,"0",NA,"0",NA,NA,"0","0","0","0",NA,"0","0",NA,"0","0",NA,"0",0,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,"0","0","0","0","0",NA,"0","0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",0,NA,NA,"0","0",NA,NA,NA,"0","0","0","0",NA,NA,"0","0","0"
"DP1.00010.001","3D wind attitude and motion reference","0",NA,NA,"0","0",NA,"0",NA,NA,NA,"0",NA,"0",NA,"0",NA,NA,"0","0","0","0",NA,"0","0",NA,"0","0",NA,"0",0,NA,"0","0","0",NA,"0",NA,NA,NA,NA,NA,NA,"0","0","0","0","0",NA,"0","0","0",NA,NA,NA,NA,"0",NA,"0","0","0","0","0","0","0",0,NA,NA,"0","0",NA,NA,NA,"0","0","0","0",NA,NA,"0","0","0"
"DP1.00013.001","Wet deposition chemical analysis",NA,"1",NA,"2018","2018",NA,"2018",NA,"2018",NA,"2018",NA,"2018",NA,"1",NA,"2018",NA,NA,"2018",NA,NA,"2018","2018","2018","1","2018",NA,"1",NA,NA,NA,"2018",NA,NA,"2018",NA,NA,NA,NA,NA,NA,"2018","2018","2018","2018","2018",NA,"2018","2018","1",NA,"2018",NA,NA,"2019","2018","2018","2018","2018","2018",NA,"1","2018",1,NA,"1","2018",NA,NA,NA,NA,"2018",NA,"2018","1",NA,NA,"2018","1","2019"
"DP1.00014.001","Shortwave radiation (direct and diffuse pyranometer)","1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"0",NA,"1","1","1","0","1","1","1",1,NA,NA,"1","0",NA,NA,NA,"1","1","1","1",NA,NA,"1","1","0"
