"dpID","table","records","dupNum","dupPct","other"
"DP1.20099.001","agw_groundwaterFieldData","153","0",0,
"DP1.20163.001","alg_algaeExternalLabDataPerSample","9433","48",0.508851902894095,"Primary key fields contain NA values and/or empty strings"
"DP1.20163.001","alg_domainLabChemistry","4312","1",0.023191094619666,"Primary key fields contain NA values and/or empty strings"
"DP1.20163.001","alg_fieldData","1086","4",0.368324125230203,"Primary key fields contain NA values and/or empty strings"
"DP1.20166.001","alg_biomass","removeDups() failed",NA,NA,
"DP1.20166.001","alg_fieldData","1096","4",0.364963503649635,"Primary key fields contain NA values and/or empty strings"
"DP1.20166.001","alg_taxonomyProcessed","99542","17356",17.4358562214944,"Primary key fields contain NA values and/or empty strings"
"DP1.20166.001","alg_taxonomyRaw","removeDups() failed",NA,NA,
"DP1.20138.001","amc_cellCounts","removeDups() failed",NA,NA,
"DP1.20138.001","amc_fieldCellCounts","493","0",0,
"DP1.20138.001","amc_fieldSuperParent","493","25",5.0709939148073,"Primary key fields contain NA values and/or empty strings"
"DP1.20072.001","apc_perTaxon","2228","12",0.538599640933573,"Primary key fields contain NA values and/or empty strings"
"DP1.20072.001","apc_pointTransect","17267","0",0,
"DP1.20072.001","apc_taxonomyProcessed","283","0",0,
"DP1.20063.001","apl_biomass","266","0",0,
"DP1.20063.001","apl_clipHarvest","307","0",0,
"DP1.20063.001","apl_plantExternalLabDataPerSample","640","0",0,
"DP1.20066.001","apl_biomass","350","0",0,
"DP1.20066.001","apl_clipHarvest","1027","0",0,
"DP1.20066.001","apl_taxonomyProcessed","151","0",0,
"DP1.20276.001","gsi_externalLabH2OIsotopes","94","0",0,
"DP1.20276.001","gsi_fieldData","211","0",0,
"DP1.20276.001","gsi_fieldSuperParent","222","0",0,
"DP1.20206.001","asi_externalLabH2OIsotopes","428","0",0,
"DP1.20206.001","asi_fieldData","1105","0",0,
"DP1.20206.001","asi_fieldSuperParent","1081","0",0,
"DP1.20206.001","asi_POMExternalLabDataPerSample","4268","8",0.187441424554827,
"DP4.00132.001","bat_fieldData","3","0",0,
"DP4.00132.001","bat_pointcollection","20","20",100,
