Name,Code,Supplier,HOPB,LEWI,POSE,BARC,FLNT,SUGG,CUPE,GUIL,CRAM,LIRO,KING,MCDI,LECO,WALK,BLWA,MAYF,TOMB,PRLA,PRPO,ARIK,BLUE,PRIN,BLDE,COMO,WLOU,SYCA,REDB,MART,MCRA,BIGC,TECR,OKSR,TOOK,CARI,BART,HARV,BLAN,SCBI,SERC,DSNY,JERC,OSBS,GUAN,LAJA,STEI,TREE,UNDE,KONA,KONZ,UKFS,GRSM,MLBS,ORNL,DELA,LENO,TALL,DCFS,NOGP,WOOD,CPER,RMNP,STER,CLBJ,OAES,YELL,MOAB,NIWO,JORN,SRER,ONAQ,ABBY,WREF,SJER,SOAP,TEAK,BARR,TOOL,BONA,DEJU,HEAL,PUUM
Breeding landbird point counts,DP1.10003,TOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2015,2015,2017,2015,2017,2015,2016,2016,2015,2017,2016,2016,2016,2018,2017,2017,2016,2018,2016,2015,2017,2015,2017,2017,2015,2013,2017,2013,2017,2017,2018,2015,2015,2017,2017,2017,2017,2018,2017,2017,2017,2017,2017,2017,2017,2017,2018
Soil chemical properties (Distributed initial characterization),DP1.10008,TOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2017,2015,2016,2017,2015,2016,2018,2017,2016,2016,2016,2018,2015,2015,2016,2018,2016,2015,2018,2016,2017,2016,2015,2016,2017,2015,2017,2016,2018,2016,2018,2016,2018,2016,2017,2018,2017,2018,NA,2018,2018,2018,2017,2017,2018
Ground beetle sequences DNA barcode,DP1.10020,TOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2016,2016,2016,2017,2016,2016,2016,2016,2017,2016,2016,2016,2017,2016,2016,2016,2018,2016,2016,2016,2016,2016,2016,2018,2017,2017,2019,2017,2017,2017,2016,2016,2018
Ground beetles sampled from pitfall traps,DP1.10022,TOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2013,2015,2014,2015,2013,2014,2013,2015,2016,2015,2015,2014,2017,2015,2015,2015,2017,2014,2015,2016,2014,2017,2016,2014,2013,2017,2013,2016,2015,2018,2015,2015,2015,2016,2014,2016,2018,2017,2017,2019,2017,2017,2017,2016,2015,2018
Herbaceous clip harvest,DP1.10023,TOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2013,2015,2014,2015,2013,2014,2013,2015,2016,2015,2015,2014,2017,2015,2015,2015,2017,2014,2015,2016,2014,2017,2016,2014,2013,2017,2013,2016,2015,2018,2015,2015,2015,2016,2014,2016,2018,2017,2017,2019,2017,2017,2017,2016,2015,2018
Mosquito sequences DNA barcode,DP1.10038,TOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2016,2016,2016,2017,2016,2016,2016,2016,2017,2016,2016,2016,2017,2016,2016,2016,2018,2016,2016,2016,2016,2016,2016,2018,2017,2017,2019,2017,2017,2017,2016,2016,2018
Mosquito-borne pathogen status,DP1.10041,TOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2013,2015,2014,2015,2013,2014,2013,2016,2016,2016,2016,2014,2017,2016,2016,2016,2017,2014,2016,2016,2014,2017,2016,2014,2013,2017,2013,2016,2016,2018,2016,2016,2016,2016,2014,2016,2018,2017,2017,2019,2017,2017,2017,2016,2016,2018
Mosquitoes sampled from CO2 traps,DP1.10043,TOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2013,2015,2014,2015,2013,2014,2013,2016,2016,2016,2016,2014,2017,2016,2016,2016,2017,2014,2016,2016,2014,2017,2016,2014,2013,2017,2013,2016,2016,2018,2016,2016,2016,2016,2014,2016,2018,2017,2017,2019,2017,2017,2017,2016,2016,2018
Soil physical properties (Distributed initial characterization),DP1.10047,TOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2016,2017,2017,2015,2016,2017,2015,2016,2018,2017,2016,2016,2016,2018,2015,2015,2016,2018,2016,2015,2018,2016,2017,2016,2015,2016,2017,2015,2017,2016,2018,2016,2018,2016,2018,2016,2017,2018,2017,2018,NA,2018,2018,2018,2017,2017,2019
Plant phenology observations,DP1.10055,TOS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2014,2013,2015,2014,2015,2013,2014,2013,2015,2016,2015,2015,2014,2017,2015,2015,2015,2017,2014,2015,2016,2014,2017,2016,2014,2013,2017,2013,2016,2015,2018,2015,2015,2015,2016,2014,2016,2018,2017,2017,2019,2017,2017,2017,2016,2015,2018
