"DPID","DPName","ABBY","ARIK","BARC","BARR","BART","BIGC","BLAN","BLDE","BLUE","BLWA","BONA","CARI","CLBJ","COMO","CPER","CRAM","CUPE","DCFS","DEJU","DELA","DSNY","FLNT","GRSM","GUAN","GUIL","HARV","HEAL","HOPB","JERC","JORN","KING","KONA","KONZ","LAJA","LECO","LENO","LEWI","LIRO","MART","MAYF","MCDI","MCRA","MLBS","MOAB","NIWO","NOGP","OAES","OKSR","ONAQ","ORNL","OSBS","POSE","PRIN","PRLA","PRPO","PUUM","REDB","RMNP","SCBI","SERC","SJER","SOAP","SRER","STEI","STER","SUGG","SYCA","TALL","TEAK","TECR","TOMB","TOOK","TOOL","TREE","UKFS","UNDE","WALK","WLOU","WOOD","WREF","YELL"
"DP1.00013.001","Wet deposition chemical analysis",NA,"2018",NA,"2018","2018",NA,"2018",NA,"2018",NA,"2018",NA,"2018",NA,"1",NA,"2018",NA,NA,"2018",NA,NA,"2018","2018","2018","2018","2018",NA,"2018",NA,NA,NA,"2018",NA,NA,"2018",NA,NA,NA,NA,NA,NA,"2018","2018","2018","2018","2018",NA,"2018","2018","1",NA,"2018",NA,NA,"2019","2018","2018","2018","2018","2018",NA,"2018","2018","2018",NA,"2018","2018",NA,NA,NA,NA,"2018",NA,"2018","2018",NA,NA,"2018","2018","2019"
"DP1.00038.001","Stable isotope concentrations in precipitation",NA,"2018",NA,"2018","2018",NA,"2018",NA,"2018",NA,"2018",NA,"2018",NA,"1",NA,"2018",NA,NA,"2018",NA,NA,"2018","2018","2018","2018","2018",NA,"2018",NA,NA,NA,"2018",NA,NA,"2018",NA,NA,NA,NA,NA,NA,"2018","2018","2018","2018","2018",NA,"2018","2018","1",NA,"2018",NA,NA,"2019","2018","2018","2018","2018","2018",NA,"2018","2018","2018",NA,"2018","2018",NA,NA,NA,NA,"2018",NA,"2018","2018",NA,NA,"2018","2018","2019"
"DP1.00096.001","Soil physical properties (Megapit)","1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"2018",NA,"1","1","1","1","1","1","1","1",NA,NA,"1","1",NA,NA,NA,"1","1","1","1",NA,NA,"1","0","2018"
"DP1.00097.001","Soil chemical properties (Megapit)","1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"2018",NA,"1","1","1","1","1","1","1","1",NA,NA,"1","1",NA,NA,NA,"1","1","1","1",NA,NA,"1","0","2018"
"DP1.00101.001","Particulate mass",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1","2018",NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,"1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DP1.10003.001","Breeding landbird point counts","1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"2018","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"2018","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"1",NA,"1","1","1","1","1","1","1","1",NA,NA,"1","1",NA,NA,NA,"1","1","1","1",NA,NA,"1","2018","2018"
"DP1.10008.001","Soil chemical properties (Distributed initial characterization)","0",NA,NA,"2018","0",NA,"0",NA,NA,NA,"2018",NA,"0",NA,"1",NA,NA,"0","0","1","0",NA,"0","2018",NA,"0","0",NA,"0",0,NA,"2018","1","0",NA,"2018",NA,NA,NA,NA,NA,NA,"2018","0","2018","0","0",NA,"0","0","0",NA,NA,NA,NA,"2018",NA,"0","0","0","0","2018","2018","0","1",NA,NA,"0","2018",NA,NA,NA,"2018","0","1","0",NA,NA,"0","2018","2018"
"DP1.10010.001","Coarse downed wood log survey","1",NA,NA,NA,"1",NA,"1",NA,NA,NA,"1",NA,"1",NA,NA,NA,NA,NA,"1","1","1",NA,"1","2018",NA,"1","1",NA,"1",NA,NA,NA,"1",NA,NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1",NA,NA,NA,"1","1","1",NA,NA,NA,NA,"2018",NA,"2018","1","1","1","2019",NA,"1",NA,NA,NA,"1","2018",NA,NA,NA,NA,"1","2018","1",NA,NA,NA,"2020",NA
"DP1.10014.001","Coarse downed wood bulk density sampling","1",NA,NA,NA,"0",NA,"1",NA,NA,NA,"2020",NA,NA,NA,NA,NA,NA,NA,"2019","2019","2020",NA,"0","2021",NA,"1","2018",NA,"1",NA,NA,NA,"2020",NA,NA,"2020",NA,NA,NA,NA,NA,NA,"2018","2018","2019",NA,NA,NA,"2020","2020","0",NA,NA,NA,NA,"2018",NA,"2018","1","0","0","2019",NA,"0",NA,NA,NA,"2018","2018",NA,NA,NA,NA,"2020","2019","2018",NA,NA,NA,"2020",NA
"DP1.10017.001","Digital hemispheric photos of plot vegetation","1",NA,NA,"1","1",NA,"1",NA,NA,NA,"1",NA,"1",NA,"1",NA,NA,"1","1","1","1",NA,"1","1",NA,"1","1",NA,"1",1,NA,"1","1","1",NA,"1",NA,NA,NA,NA,NA,NA,"1","1","1","1","1",NA,"1","1","1",NA,NA,NA,NA,"1",NA,"1","1","1","1","1","1","1","1",NA,NA,"1","0",NA,NA,NA,"1","1","1","1",NA,NA,"1","1","2018"
